event_id,home_team,away_team,commence_time,bookmaker,bookmaker_title,market,outcome,description,point,price_american,implied_prob,no_vig_prob
36b52127c8a50addc14237a1102c9dcc,Boston Celtics,Denver Nuggets,2026-01-08T00:10:00Z,fanduel,FanDuel,player_points,Over,Christian Braun,9.5,102,0.49505,0.462093
36b52127c8a50addc14237a1102c9dcc,Boston Celtics,Denver Nuggets,2026-01-08T00:10:00Z,fanduel,FanDuel,player_points,Under,Christian Braun,9.5,-136,0.576271,0.537907
36b52127c8a50addc14237a1102c9dcc,Boston Celtics,Denver Nuggets,2026-01-08T00:10:00Z,fanduel,FanDuel,player_points,Over,DaRon Holmes II,5.5,102,0.49505,0.462093
36b52127c8a50addc14237a1102c9dcc,Boston Celtics,Denver Nuggets,2026-01-08T00:10:00Z,fanduel,FanDuel,player_points,Under,DaRon Holmes II,5.5,-136,0.576271,0.537907
36b52127c8a50addc14237a1102c9dcc,Boston Celtics,Denver Nuggets,2026-01-08T00:10:00Z,fanduel,FanDuel,player_points,Over,Tim Hardaway Jr,13.5,-104,0.509804,0.475915
36b52127c8a50addc14237a1102c9dcc,Boston Celtics,Denver Nuggets,2026-01-08T00:10:00Z,fanduel,FanDuel,player_points,Under,Tim Hardaway Jr,13.5,-128,0.561404,0.524085
36b52127c8a50addc14237a1102c9dcc,Boston Celtics,Denver Nuggets,2026-01-08T00:10:00Z,fanduel,FanDuel,player_points,Over,Peyton Watson,14.5,100,0.5,0.467742
36b52127c8a50addc14237a1102c9dcc,Boston Celtics,Denver Nuggets,2026-01-08T00:10:00Z,fanduel,FanDuel,player_points,Under,Peyton Watson,14.5,-132,0.568966,0.532258
36b52127c8a50addc14237a1102c9dcc,Boston Celtics,Denver Nuggets,2026-01-08T00:10:00Z,fanduel,FanDuel,player_points,Over,Payton Pritchard,16.5,-118,0.541284,0.503992
36b52127c8a50addc14237a1102c9dcc,Boston Celtics,Denver Nuggets,2026-01-08T00:10:00Z,fanduel,FanDuel,player_points,Under,Payton Pritchard,16.5,-114,0.53271,0.496008
36b52127c8a50addc14237a1102c9dcc,Boston Celtics,Denver Nuggets,2026-01-08T00:10:00Z,fanduel,FanDuel,player_points,Over,Bruce Brown,5.5,102,0.49505,0.462093
36b52127c8a50addc14237a1102c9dcc,Boston Celtics,Denver Nuggets,2026-01-08T00:10:00Z,fanduel,FanDuel,player_points,Under,Bruce Brown,5.5,-136,0.576271,0.537907
36b52127c8a50addc14237a1102c9dcc,Boston Celtics,Denver Nuggets,2026-01-08T00:10:00Z,fanduel,FanDuel,player_points,Over,Anfernee Simons,13.5,-110,0.52381,0.489879
36b52127c8a50addc14237a1102c9dcc,Boston Celtics,Denver Nuggets,2026-01-08T00:10:00Z,fanduel,FanDuel,player_points,Under,Anfernee Simons,13.5,-120,0.545455,0.510121
36b52127c8a50addc14237a1102c9dcc,Boston Celtics,Denver Nuggets,2026-01-08T00:10:00Z,fanduel,FanDuel,player_points_rebounds_assists,Over,Jamal Murray,40.5,-108,0.519231,0.485816
36b52127c8a50addc14237a1102c9dcc,Boston Celtics,Denver Nuggets,2026-01-08T00:10:00Z,fanduel,FanDuel,player_points_rebounds_assists,Under,Jamal Murray,40.5,-122,0.54955,0.514184
36b52127c8a50addc14237a1102c9dcc,Boston Celtics,Denver Nuggets,2026-01-08T00:10:00Z,fanduel,FanDuel,player_points_rebounds_assists,Over,Derrick White,30.5,-108,0.519231,0.485816
36b52127c8a50addc14237a1102c9dcc,Boston Celtics,Denver Nuggets,2026-01-08T00:10:00Z,fanduel,FanDuel,player_points_rebounds_assists,Under,Derrick White,30.5,-122,0.54955,0.514184
36b52127c8a50addc14237a1102c9dcc,Boston Celtics,Denver Nuggets,2026-01-08T00:10:00Z,fanduel,FanDuel,player_points_rebounds_assists,Over,Payton Pritchard,26.5,-122,0.54955,0.514184
36b52127c8a50addc14237a1102c9dcc,Boston Celtics,Denver Nuggets,2026-01-08T00:10:00Z,fanduel,FanDuel,player_points_rebounds_assists,Under,Payton Pritchard,26.5,-108,0.519231,0.485816
36b52127c8a50addc14237a1102c9dcc,Boston Celtics,Denver Nuggets,2026-01-08T00:10:00Z,fanduel,FanDuel,player_points_rebounds_assists,Over,Bruce Brown,11.5,-106,0.514563,0.483561
36b52127c8a50addc14237a1102c9dcc,Boston Celtics,Denver Nuggets,2026-01-08T00:10:00Z,fanduel,FanDuel,player_points_rebounds_assists,Under,Bruce Brown,11.5,-122,0.54955,0.516439
36b52127c8a50addc14237a1102c9dcc,Boston Celtics,Denver Nuggets,2026-01-08T00:10:00Z,fanduel,FanDuel,player_points_rebounds_assists,Over,Jaylen Brown,42.5,-120,0.545455,0.510121
36b52127c8a50addc14237a1102c9dcc,Boston Celtics,Denver Nuggets,2026-01-08T00:10:00Z,fanduel,FanDuel,player_points_rebounds_assists,Under,Jaylen Brown,42.5,-110,0.52381,0.489879
36b52127c8a50addc14237a1102c9dcc,Boston Celtics,Denver Nuggets,2026-01-08T00:10:00Z,fanduel,FanDuel,player_points_rebounds_assists,Over,Aaron Gordon,21.5,-104,0.509804,0.475915
36b52127c8a50addc14237a1102c9dcc,Boston Celtics,Denver Nuggets,2026-01-08T00:10:00Z,fanduel,FanDuel,player_points_rebounds_assists,Under,Aaron Gordon,21.5,-128,0.561404,0.524085
36b52127c8a50addc14237a1102c9dcc,Boston Celtics,Denver Nuggets,2026-01-08T00:10:00Z,fanduel,FanDuel,player_points_rebounds_assists,Over,Anfernee Simons,18.5,-114,0.53271,0.5
36b52127c8a50addc14237a1102c9dcc,Boston Celtics,Denver Nuggets,2026-01-08T00:10:00Z,fanduel,FanDuel,player_points_rebounds_assists,Under,Anfernee Simons,18.5,-114,0.53271,0.5
36b52127c8a50addc14237a1102c9dcc,Boston Celtics,Denver Nuggets,2026-01-08T00:10:00Z,fanduel,FanDuel,player_points_rebounds_assists,Over,Peyton Watson,21.5,-130,0.565217,0.528158
36b52127c8a50addc14237a1102c9dcc,Boston Celtics,Denver Nuggets,2026-01-08T00:10:00Z,fanduel,FanDuel,player_points_rebounds_assists,Under,Peyton Watson,21.5,-102,0.50495,0.471842
36b52127c8a50addc14237a1102c9dcc,Boston Celtics,Denver Nuggets,2026-01-08T00:10:00Z,fanduel,FanDuel,player_points_rebounds_assists,Over,Christian Braun,15.5,-104,0.509804,0.475915
36b52127c8a50addc14237a1102c9dcc,Boston Celtics,Denver Nuggets,2026-01-08T00:10:00Z,fanduel,FanDuel,player_points_rebounds_assists,Under,Christian Braun,15.5,-128,0.561404,0.524085
36b52127c8a50addc14237a1102c9dcc,Boston Celtics,Denver Nuggets,2026-01-08T00:10:00Z,fanduel,FanDuel,player_threes,Over,Jamal Murray,3.5,128,0.438596,0.40954
36b52127c8a50addc14237a1102c9dcc,Boston Celtics,Denver Nuggets,2026-01-08T00:10:00Z,fanduel,FanDuel,player_threes,Under,Jamal Murray,3.5,-172,0.632353,0.59046
